DATA       TAB_SQL                        REG_SQL        TAB_TERA                       REG_TERA             Diferenca            
20170531   WD_GFIP                        26             WD_GFIP                                          26                     0
20170531   WD_GRUPO_CARGO                 484            WD_GRUPO_CARGO                                  484                     0
20170531   WD_GRUPO_CCON                  52             WD_GRUPO_CCON                                    52                     0
20170531   WD_GRUPO_CREDOR_DIEX           9              WD_GRUPO_CREDOR_DIEX                              9                     0
20170531   WD_GRUPO_DE_FONTE              7              WD_GRUPO_DE_FONTE                                 7                     0
20170531   WD_GRUPO_DE_FONTE_DETA         113            WD_GRUPO_DE_FONTE_DETA                          113                     0
20170531   WD_GRUPO_DESPESA_NADE          13             WD_GRUPO_DESPESA_NADE                            13                     0
20170531   WD_GRUPO_EXERCICIO_CCON        385            WD_GRUPO_EXERCICIO_CCON                         385                     0
20170531   WD_GRUPO_FONTE                 13             WD_GRUPO_FONTE                                   13                     0
20170531   WD_GRUPO_RUBRICA               11             WD_GRUPO_RUBRICA                                 11                     0
20170531   WD_GRUPO_SIT_VINC_SERV         8              WD_GRUPO_SIT_VINC_SERV                            8                     0
20170531   WD_HABILIT_PROFISSIONAL        435            WD_HABILIT_PROFISSIONAL                         435                     0
20170531   WD_IDADE                       188            WD_IDADE                                        188                     0
20170531   WD_IDENTIFICADOR_ACOMP_PO      51             WD_IDENTIFICADOR_ACOMP_PO                        51                     0
20170531   WD_IDOC                        2253           WD_IDOC                                        2253                     0
20170531   WD_IDUSO                       13             WD_IDUSO                                         13                     0
20170531   WD_IN_ACAO_PT                  7              WD_IN_ACAO_PT                                     7                     0
20170531   WD_IN_ACOM_INTENSIVO_CEOR      10             WD_IN_ACOM_INTENSIVO_CEOR                        10                     0
20170531   WD_IN_DOCUMENTO_FINANCEIRO_TV  5              WD_IN_DOCUMENTO_FINANCEIRO_TV                     5                     0
20170531   WD_IN_INVERTE_SALDO_CCON       7              WD_IN_INVERTE_SALDO_CCON                          7                     0
20170531   WD_IN_MEIO_FIM_ACAO_PT         5              WD_IN_MEIO_FIM_ACAO_PT                            5                     0
20170531   WD_IN_PRECATORIO_CEOR          6              WD_IN_PRECATORIO_CEOR                             6                     0
